epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,501.89,1.07349,0.69824,0.97639,0.89166,0.90466,0.95837,0.68735,1.02852,0.63235,0.96649,6.4e-05,6.4e-05,6.4e-05
42,515.604,1.07089,0.7019,0.97441,0.89588,0.90181,0.95871,0.692,1.02015,0.62678,0.9647,6.31e-05,6.31e-05,6.31e-05
43,526.548,1.06634,0.70092,0.96902,0.89659,0.90682,0.95822,0.69175,1.02016,0.62793,0.96384,6.22e-05,6.22e-05,6.22e-05
44,537.335,1.06438,0.69922,0.9663,0.88304,0.91142,0.95408,0.68739,1.02593,0.62949,0.96254,6.13e-05,6.13e-05,6.13e-05
45,549.576,1.05861,0.6865,0.96559,0.89682,0.89979,0.95259,0.6865,1.02841,0.63529,0.96622,6.04e-05,6.04e-05,6.04e-05
46,559.795,1.05993,0.6903,0.96893,0.9027,0.90502,0.95419,0.69266,1.01219,0.61581,0.96073,5.95e-05,5.95e-05,5.95e-05
47,572.121,1.06346,0.69001,0.97068,0.91261,0.90276,0.95586,0.6949,1.00987,0.61102,0.95997,5.86e-05,5.86e-05,5.86e-05
48,585.002,1.05177,0.66981,0.97097,0.90573,0.90239,0.95692,0.6929,1.02118,0.61662,0.96424,5.77e-05,5.77e-05,5.77e-05
49,594.607,1.06048,0.68639,0.96172,0.90139,0.90822,0.95966,0.68802,1.03973,0.61524,0.96734,5.68e-05,5.68e-05,5.68e-05
50,607.48,1.05714,0.67614,0.96207,0.90911,0.90395,0.95894,0.69399,1.01494,0.60689,0.96098,5.59e-05,5.59e-05,5.59e-05
51,619.044,1.05788,0.67482,0.96808,0.90821,0.90608,0.95712,0.69457,1.01186,0.61014,0.96105,5.5e-05,5.5e-05,5.5e-05
52,629.435,1.05233,0.67387,0.96084,0.8878,0.912,0.95854,0.69141,1.02079,0.6105,0.96197,5.41e-05,5.41e-05,5.41e-05
53,642.059,1.06601,0.682,0.96994,0.89444,0.91889,0.95901,0.69347,1.01979,0.60536,0.96073,5.32e-05,5.32e-05,5.32e-05
54,652.955,1.05854,0.67234,0.96448,0.87964,0.92039,0.95679,0.69389,1.01259,0.60936,0.96089,5.23e-05,5.23e-05,5.23e-05
55,664.94,1.0517,0.67779,0.9666,0.89521,0.90395,0.95627,0.692,1.02265,0.61462,0.96532,5.14e-05,5.14e-05,5.14e-05
56,678.955,1.04877,0.66036,0.96091,0.88763,0.91892,0.9576,0.69482,1.01631,0.60221,0.95815,5.05e-05,5.05e-05,5.05e-05
57,689.783,1.04828,0.66062,0.9673,0.91305,0.89652,0.95948,0.69988,1.00551,0.59719,0.95756,4.96e-05,4.96e-05,4.96e-05
58,702.083,1.04014,0.66155,0.96821,0.91924,0.89891,0.95968,0.70024,1.00625,0.59291,0.96009,4.87e-05,4.87e-05,4.87e-05
59,714.884,1.03635,0.66794,0.96662,0.91717,0.90181,0.96008,0.69899,1.00638,0.59151,0.95794,4.78e-05,4.78e-05,4.78e-05
60,725.173,1.04,0.65766,0.95991,0.92067,0.89328,0.96105,0.69469,1.01935,0.59876,0.95849,4.69e-05,4.69e-05,4.69e-05
61,736.183,1.04601,0.66292,0.96215,0.90508,0.9057,0.95993,0.6967,1.0105,0.59798,0.95789,4.6e-05,4.6e-05,4.6e-05
62,748.856,1.04159,0.65285,0.95798,0.91761,0.90337,0.96053,0.69844,1.00888,0.59428,0.95914,4.51e-05,4.51e-05,4.51e-05
63,759.506,1.02722,0.64637,0.95835,0.91204,0.91569,0.96236,0.70039,1.00824,0.58682,0.95871,4.42e-05,4.42e-05,4.42e-05
64,771.494,1.04548,0.65277,0.96009,0.90199,0.91782,0.96288,0.69857,1.00915,0.58639,0.95802,4.33e-05,4.33e-05,4.33e-05
65,784.183,1.03125,0.64191,0.95386,0.89159,0.91996,0.96226,0.69708,1.01564,0.59394,0.95865,4.24e-05,4.24e-05,4.24e-05
66,794.52,1.03157,0.65614,0.95787,0.89101,0.91612,0.96177,0.69714,1.01137,0.59478,0.95775,4.15e-05,4.15e-05,4.15e-05
67,806.063,1.01856,0.64962,0.95398,0.91725,0.89114,0.96193,0.70001,1.00786,0.58682,0.95668,4.06e-05,4.06e-05,4.06e-05
68,818.924,1.03107,0.64229,0.95719,0.89429,0.91249,0.96095,0.69816,1.0099,0.59086,0.95749,3.97e-05,3.97e-05,3.97e-05
69,828.829,1.02842,0.64329,0.95436,0.88761,0.92636,0.96077,0.69739,1.0135,0.59899,0.95928,3.88e-05,3.88e-05,3.88e-05
70,843.734,1.04317,0.65105,0.96567,0.91556,0.89107,0.96152,0.69823,1.0115,0.59199,0.95774,3.79e-05,3.79e-05,3.79e-05
71,854.893,1.03903,0.64248,0.95331,0.90028,0.90569,0.96209,0.6991,1.012,0.58881,0.95827,3.7e-05,3.7e-05,3.7e-05
72,866.538,1.03589,0.64751,0.95437,0.88906,0.92366,0.96223,0.69734,1.01485,0.59116,0.95917,3.61e-05,3.61e-05,3.61e-05
73,879.314,1.03663,0.64059,0.96178,0.92472,0.89145,0.96207,0.69943,1.01316,0.58545,0.95747,3.52e-05,3.52e-05,3.52e-05
74,889.423,1.01905,0.64127,0.95782,0.92029,0.89949,0.96119,0.70047,1.01157,0.58175,0.95697,3.43e-05,3.43e-05,3.43e-05
75,903.276,1.01939,0.6352,0.95738,0.90426,0.91035,0.96141,0.70122,1.00744,0.58176,0.95627,3.34e-05,3.34e-05,3.34e-05
76,923.879,1.0386,0.64818,0.9659,0.91586,0.8945,0.96064,0.70237,1.00426,0.58495,0.95547,3.25e-05,3.25e-05,3.25e-05
77,939.067,1.02994,0.63625,0.95658,0.91127,0.91035,0.9607,0.70383,1.00345,0.58094,0.95548,3.16e-05,3.16e-05,3.16e-05
78,955.944,1.02722,0.63729,0.95725,0.91188,0.90181,0.96148,0.70551,1.00011,0.58168,0.954,3.07e-05,3.07e-05,3.07e-05
79,968.206,1.02042,0.64224,0.95855,0.91416,0.89793,0.9616,0.70484,1.00143,0.58414,0.95485,2.98e-05,2.98e-05,2.98e-05
80,977.989,1.0332,0.64686,0.95563,0.90433,0.90395,0.96182,0.7029,1.00327,0.58185,0.95574,2.89e-05,2.89e-05,2.89e-05
81,989.868,1.0236,0.63574,0.95939,0.90673,0.91035,0.96174,0.70281,1.00316,0.57628,0.95521,2.8e-05,2.8e-05,2.8e-05
82,1008.26,1.0312,0.63281,0.95507,0.90968,0.90608,0.96152,0.70484,1.00133,0.57348,0.95342,2.71e-05,2.71e-05,2.71e-05
83,1025.13,1.01707,0.63486,0.95189,0.91436,0.90822,0.96299,0.70538,1.00316,0.57308,0.95482,2.62e-05,2.62e-05,2.62e-05
84,1041.57,1.01924,0.61803,0.95141,0.918,0.90807,0.96407,0.70612,1.00577,0.57299,0.95603,2.53e-05,2.53e-05,2.53e-05
85,1056.32,1.03523,0.64577,0.9616,0.91167,0.91035,0.96537,0.70292,1.00499,0.57162,0.95516,2.44e-05,2.44e-05,2.44e-05
86,1071.13,1.02513,0.62541,0.96142,0.92072,0.90928,0.96513,0.70424,1.00388,0.57151,0.9551,2.35e-05,2.35e-05,2.35e-05
87,1090.27,1.014,0.62808,0.95039,0.92297,0.90792,0.96444,0.70701,1.00353,0.56866,0.95541,2.26e-05,2.26e-05,2.26e-05
88,1104.79,1.03131,0.63427,0.95647,0.91957,0.90608,0.96485,0.70622,1.00659,0.57236,0.95598,2.17e-05,2.17e-05,2.17e-05
89,1122.2,1.03267,0.63722,0.9579,0.90497,0.91249,0.96359,0.70513,1.00234,0.57544,0.95417,2.08e-05,2.08e-05,2.08e-05
90,1137.47,1.01339,0.62476,0.94925,0.91583,0.9058,0.96307,0.70549,1.00013,0.57405,0.95441,1.99e-05,1.99e-05,1.99e-05
91,1157.43,1.0045,0.64377,0.96007,0.93094,0.89197,0.96252,0.70472,0.99935,0.57922,0.95517,1.9e-05,1.9e-05,1.9e-05
92,1174.33,0.98952,0.6249,0.95267,0.93135,0.89434,0.96143,0.70008,1.0007,0.57538,0.95607,1.81e-05,1.81e-05,1.81e-05
93,1189.07,0.99006,0.61958,0.94972,0.93025,0.90288,0.96064,0.69966,1.00468,0.57584,0.95699,1.72e-05,1.72e-05,1.72e-05
94,1202.34,0.994,0.61432,0.95216,0.92243,0.9138,0.96139,0.70176,1.00538,0.57672,0.95783,1.63e-05,1.63e-05,1.63e-05
95,1218.3,0.99285,0.60906,0.94983,0.92051,0.90822,0.96203,0.70262,1.00823,0.58063,0.95847,1.54e-05,1.54e-05,1.54e-05
96,1231.19,0.99827,0.61553,0.95071,0.9202,0.91066,0.96171,0.7033,1.00593,0.5871,0.95813,1.45e-05,1.45e-05,1.45e-05
97,1242.87,0.99766,0.60926,0.95442,0.92095,0.90928,0.9612,0.70532,1.00231,0.58677,0.95748,1.36e-05,1.36e-05,1.36e-05
98,1254,0.99287,0.61469,0.94939,0.92083,0.90822,0.96175,0.70522,1.00048,0.58383,0.95685,1.27e-05,1.27e-05,1.27e-05
99,1264.95,0.99206,0.60363,0.95431,0.92385,0.90288,0.96243,0.70419,1.00166,0.58186,0.95657,1.18e-05,1.18e-05,1.18e-05
100,1278.65,0.99248,0.6148,0.94955,0.92477,0.90288,0.96296,0.70403,1.00355,0.58051,0.95713,1.09e-05,1.09e-05,1.09e-05
